Date,City,Max Wind Speed (mph),Precipitation (inch),Max Temperature (°F),Min Temperature (°F)
2024-07-01,Bronx,14.8,0.016,78.9,61.7
2024-07-02,Bronx,9.7,0,83,60.8
2024-07-03,Bronx,14,0,81.3,62.4
2024-07-04,Bronx,10.3,0.051,84.7,66.2
2024-07-05,Bronx,10.2,0.614,87.8,69.7
2024-07-06,Bronx,9.9,0.051,89.3,71.7
2024-07-07,Bronx,6.7,0.02,89.1,73.3
2024-07-08,Bronx,8.6,0,90.6,73.4
2024-07-09,Bronx,12.7,0,88.3,71.6
2024-07-10,Bronx,20.2,0.008,87.1,76
2024-07-11,Bronx,17.6,0.205,91.2,75
2024-07-12,Bronx,11,0.583,83.9,70.1
2024-07-13,Bronx,9.7,1.008,86.1,71.1
2024-07-14,Bronx,8.6,0.008,87.9,70.5
2024-07-15,Bronx,10.4,0.063,90.3,73.8
2024-07-16,Bronx,15.4,0.008,92.4,73.7
2024-07-17,Bronx,11.7,0.949,88.3,73.4
2024-07-18,Bronx,8.6,0.083,85.9,70.6
2024-07-19,Bronx,9.1,0,83.2,64.4
2024-07-20,Bronx,11.7,0.028,83.1,63.8
2024-07-21,Bronx,12.4,0.004,88.5,67.3
2024-07-22,Bronx,11.5,0.13,82,70.4
2024-07-23,Bronx,6,0.106,82.6,69.8
2024-07-24,Bronx,8.1,0.248,83.3,70.1
2024-07-25,Bronx,9.1,0.004,85.9,68.6
2024-07-26,Bronx,10.6,0,84.2,64.4
2024-07-27,Bronx,7.2,0,84.5,64.4
2024-07-28,Bronx,10.8,0,86.4,65.5
2024-07-29,Bronx,10.2,0.15,83.1,69.7
2024-07-30,Bronx,17.9,0,86,70.8
2024-07-31,Bronx,11,0.681,85.1,73.4
2024-08-01,Bronx,9.8,0.008,93.4,69.2
2024-08-02,Bronx,13.2,0.114,90.7,73.3
2024-08-03,Bronx,9.5,0.232,91,73.9
2024-08-04,Bronx,10.3,0.146,82.4,73.6
2024-08-05,Bronx,11.8,0,88.9,69.5
2024-08-06,Bronx,8.6,0.898,88.1,71.1
2024-08-07,Bronx,12.4,0.913,71.4,65.2
2024-08-08,Bronx,13.6,0.606,72.5,65.5
2024-08-09,Bronx,27.8,0.657,82.9,71.9
2024-08-10,Bronx,11,0.094,84.7,71.4
2024-08-11,Bronx,11.4,0,81.4,65.3
2024-08-12,Bronx,11,0.016,78.8,61.7
2024-08-13,Bronx,7.8,0,80.9,61.4
2024-08-14,Bronx,8.5,0,83.2,64.8
2024-08-15,Bronx,6.2,0,86.1,63.9
2024-08-16,Bronx,9.3,0,85.7,65.6
2024-08-17,Bronx,12.5,0.193,79.5,69.2
2024-08-18,Bronx,13.3,0.976,77.2,70.1
2024-08-19,Bronx,10.5,0.398,82.4,68.3
2024-08-20,Bronx,11.9,0,72.5,62.4
2024-08-21,Bronx,10.7,0,72.7,55.7
2024-08-22,Bronx,10.1,0,75.6,56.4
2024-08-23,Bronx,8.4,0,81.5,57.7
2024-08-24,Bronx,9,0,83.4,60.2
2024-08-25,Bronx,9.9,0.008,85.4,62.6
2024-08-26,Bronx,10.4,0.004,85.2,65.7
2024-08-27,Bronx,11.2,0,86.5,63.8
2024-08-28,Bronx,8.9,0.016,92.3,70.7
2024-08-29,Bronx,9.9,0.287,75.6,66.4
2024-08-30,Bronx,8.9,0.287,76.7,64.3
2024-08-31,Bronx,9.1,0.008,78.5,62.5
2024-09-01,Bronx,11.2,0.055,83,69.8
2024-09-02,Bronx,11.4,0,78.4,63.5
2024-09-03,Bronx,9.7,0,72.9,54.7
2024-09-04,Bronx,6.8,0,77.7,54.9
2024-09-05,Bronx,9.1,0,76.3,56.3
2024-09-06,Bronx,8.6,0.004,78.7,58.4
2024-09-07,Bronx,14.8,0.173,74.2,57.6
2024-09-08,Bronx,11.9,0,71.2,52.5
2024-09-09,Bronx,11.2,0,76.2,53.1
2024-09-10,Bronx,7.1,0,78.1,58.1
2024-09-11,Bronx,6.5,0,77.8,54.9
2024-09-12,Bronx,8.6,0,79.2,59
2024-09-13,Bronx,8.3,0,81.7,57.3
2024-09-14,Bronx,8.7,0,82.5,59.1
2024-09-15,Bronx,11,0,79.5,61.4
2024-09-16,Bronx,8,0,76.1,57.2
2024-09-17,Bronx,6.9,0,79.6,58.3
2024-09-18,Bronx,9.1,0,74,64.4
2024-09-19,Bronx,9.4,0,85.5,61
2024-09-20,Bronx,10.3,0.024,80.6,63.4
2024-09-21,Bronx,10,0,78.8,59.4
2024-09-22,Bronx,10,0,75.5,56.7
2024-09-23,Bronx,10.4,0.012,68,56.3
2024-09-24,Bronx,10.3,0.012,66.4,56
2024-09-25,Bronx,10.1,0,68.8,60.2
2024-09-26,Bronx,9,0.28,72.9,62.4
2024-09-27,Bronx,7.3,0.035,71.9,65.3
2024-09-28,Bronx,14.9,0.13,68.9,61.6
2024-09-29,Bronx,11.3,0.185,64,61.7
2024-09-30,Bronx,11.2,0,70.8,58.1
2024-10-01,Bronx,10.5,0,69.1,59
2024-10-02,Bronx,8.2,0.008,67.6,55.3
2024-10-03,Bronx,8.1,0,71.1,57.3
2024-10-04,Bronx,8.9,0.004,73.5,54.2
2024-10-05,Bronx,9.6,0,74.3,58.6
2024-10-06,Bronx,9.4,0,72,51.3
2024-10-07,Bronx,10.2,0.173,73.5,58.3
2024-10-08,Bronx,8.7,0,68.1,51
2024-10-09,Bronx,12.8,0,66.2,49.4
2024-10-10,Bronx,12.1,0,63.7,46
2024-10-11,Bronx,10.6,0,68.8,45.2
2024-10-12,Bronx,12.6,0,72.1,54.9
2024-10-13,Bronx,10.9,0,72,49.7
2024-10-14,Bronx,19.2,0.004,66.6,47.3
2024-10-15,Bronx,11.3,0,57.6,41.9
2024-10-16,Bronx,11.6,0,58.9,42.3
2024-10-17,Bronx,11.9,0,58.6,40.1
2024-10-18,Bronx,9.6,0,65.9,45.4
2024-10-19,Bronx,6.4,0,69.7,45.5
2024-10-20,Bronx,6.1,0,73.5,43.3
2024-10-21,Bronx,7.3,0,79.5,47
2024-10-22,Bronx,7,0,80.2,55.8
2024-10-23,Bronx,12.1,0,73.1,53.6
2024-10-24,Bronx,13.4,0,67.5,52.7
2024-10-25,Bronx,9.4,0,63.1,44.2
2024-10-26,Bronx,14.4,0,63.5,50.5
2024-10-27,Bronx,11.1,0,57.5,41.8
2024-10-28,Bronx,6.8,0,60.4,38.1
2024-10-29,Bronx,12.6,0.059,62.1,45.4
2024-10-30,Bronx,7.9,0.004,76.2,51.6
2024-10-31,Bronx,11.4,0,80.8,54.6
2024-11-01,Bronx,16.5,0.02,78,58.4
2024-11-02,Bronx,10.6,0,59.9,46.2
